Yule_Logger_1 | ERROR: Function Double requires type int
Yule_Logger_1 | ERROR: Function Double requires type int
Yule_Logger_1 | INFO: Double before number - 100
Yule_Logger_1 | WARNING: Double after number - 200
Yule_Logger_1 | INFO: Add One before number - 400
Yule_Logger_1 | WARNING: Add One after number - 401
Yule_Logger_1 | INFO: Double before number - six
Yule_Logger_1 | ERROR: Function Double requires type int
Yule_Logger_1 | INFO: Double before number - 100
Yule_Logger_1 | WARNING: Double after number - 200
Yule_Logger_1 | INFO: Add One before number - 400
Yule_Logger_1 | WARNING: Add One after number - 401
Yule_Logger_1 | INFO: Double before number - six
Yule_Logger_1 | ERROR: Function Double requires type int
Yule_Logger_1 | INFO: Double before number - 100
Yule_Logger_1 | WARNING: Double after number - 200
Yule_Logger_1 | INFO: Add One before number - 400
Yule_Logger_1 | WARNING: Add One after number - 401
Yule_Logger_1 | INFO: Double before number - six
Yule_Logger_1 | ERROR: Function Double requires type int
Yule_Logger_1 | INFO: Double before number - 100
Yule_Logger_1 | WARNING: Double after number - 200
Yule_Logger_1 | INFO: Add One before number - 400
Yule_Logger_1 | WARNING: Add One after number - 401
Yule_Logger_1 | INFO: Double before number - six
Yule_Logger_1 | ERROR: Function Double requires type int
Yule_Logger_1 | INFO: Double before number - 100
Yule_Logger_1 | WARNING: Double after number - 200
Yule_Logger_1 | INFO: Add One before number - 400
Yule_Logger_1 | WARNING: Add One after number - 401
Yule_Logger_1 | INFO: Double before number - six
Yule_Logger_1 | ERROR: Function Double requires type int
